Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789048189,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789048190,40,,Aggregated,0.000000,0.000000,31,39,48,51,94,220,230,240,250,250,250,310,0,31,47.541656774551335,6.3782999641261995,245.1682000537403,269.39677419354837
1789048191,120,,Aggregated,0.000000,0.000000,44,52,61,71,120,230,290,950,1200,1200,1200,758,0,44,73.66603390435937,6.3782999641261995,1177.2716999985278,260.3905013192612
1789048192,160,,Aggregated,223.000000,0.000000,65,91,120,130,190,260,890,950,1200,1200,1200,1335,0,65,105.74355992407465,6.3782999641261995,1177.2716999985278,259.2329588014981
1789048193,200,,Aggregated,295.500000,0.000000,86,120,140,150,200,300,580,900,1200,1200,1200,1793,0,86,118.53169509150868,6.3782999641261995,1177.2716999985278,262.1556051310653
1789048194,200,,Aggregated,369.666667,0.000000,120,160,190,200,280,630,890,960,1400,1400,1400,2357,0,120,163.38448752617518,6.3782999641261995,1396.8007999937981,263.0963088672041
1789048195,200,,Aggregated,398.000000,0.000000,150,190,210,240,290,480,870,950,1400,1400,1400,2934,0,150,176.7354737218727,6.3782999641261995,1396.8007999937981,263.0623721881391
1789048196,200,,Aggregated,396.000000,0.000000,170,220,240,260,290,380,860,940,1400,1400,1400,3446,0,170,189.27975963422847,6.3782999641261995,1396.8007999937981,262.24550203134066
1789048198,200,,Aggregated,428.142857,0.000000,190,220,240,260,290,360,840,900,1200,1400,1400,4086,0,190,195.06692953985112,6.3782999641261995,1396.8007999937981,261.7241801272638
1789048199,200,,Aggregated,438.625000,0.000000,190,220,240,260,290,340,800,890,1200,1400,1400,4726,0,190,197.42208827760453,6.3782999641261995,1396.8007999937981,259.797714769361
1789048200,200,,Aggregated,446.777778,0.000000,200,230,260,270,300,360,760,870,1200,1400,1400,5238,0,200,203.94246953031885,6.3782999641261995,1396.8007999937981,259.4868270332188
1789048201,200,,Aggregated,454.300000,0.000000,200,230,250,270,300,340,630,870,1200,1400,1400,5878,0,200,203.32748821031092,6.3782999641261995,1396.8007999937981,259.1012249064308
1789048202,200,,Aggregated,488.700000,0.000000,200,230,250,260,300,330,570,860,1200,1400,1400,6518,0,200,204.78227210811093,6.3782999641261995,1396.8007999937981,258.6144522859773
1789048203,200,,Aggregated,497.600000,0.000000,200,230,250,260,290,330,480,860,1100,1400,1400,7094,0,200,205.7665662250646,6.3782999641261995,1396.8007999937981,259.0892303354948
1789048204,200,,Aggregated,508.800000,0.000000,210,230,250,270,300,340,470,850,1100,1400,1400,7606,0,210,209.3799112543053,6.3782999641261995,1396.8007999937981,259.54890875624505
1789048205,200,,Aggregated,518.200000,0.000000,210,230,250,260,300,340,420,830,1100,1400,1400,8246,0,210,209.44266594710786,6.3782999641261995,1396.8007999937981,258.6639582828038
1789048207,200,,Aggregated,513.000000,0.000000,210,230,250,260,300,330,400,820,1100,1400,1400,8886,0,210,209.90932044788403,6.3782999641261995,1396.8007999937981,259.05007877560206
1789048208,200,,Aggregated,524.900000,0.000000,200,230,250,260,290,330,390,800,1100,1400,1400,9591,0,200,207.6983372327385,6.3782999641261995,1396.8007999937981,259.2714002710875
1789048209,200,,Aggregated,531.400000,0.000000,200,230,250,260,290,330,390,780,1000,1400,1400,10166,0,200,208.70011578785554,6.3782999641261995,1396.8007999937981,259.2889041904387
1789048210,200,,Aggregated,544.200000,0.000000,200,230,250,260,290,330,380,710,1000,1400,1400,10743,0,200,208.85087733400601,6.3782999641261995,1396.8007999937981,258.8599087778088
1789048211,200,,Aggregated,544.000000,0.000000,210,230,250,260,290,330,380,630,1000,1400,1400,11383,0,210,209.93919682847715,6.3782999641261995,1396.8007999937981,259.2312219977159
1789048212,200,,Aggregated,546.400000,0.000000,210,230,240,260,290,330,380,630,1000,1400,1400,12023,0,210,209.8448527903766,6.3782999641261995,1396.8007999937981,259.3104050569741
1789048213,200,,Aggregated,547.000000,0.000000,210,230,240,260,290,330,380,570,1000,1400,1400,12598,0,210,210.3853867278964,6.3782999641261995,1396.8007999937981,259.3915700904906
1789048214,200,,Aggregated,537.700000,0.000000,210,230,240,260,290,320,380,510,1000,1400,1400,13239,0,210,209.93627174995106,6.3782999641261995,1396.8007999937981,259.4011632298512
1789048216,200,,Aggregated,543.900000,0.000000,210,230,240,260,290,320,370,490,1000,1400,1400,13879,0,210,210.32577321837957,6.3782999641261995,1396.8007999937981,259.1608905540745
1789048217,200,,Aggregated,562.300000,0.000000,200,230,240,250,290,320,370,480,1000,1400,1400,14583,0,200,208.97896366307504,6.3782999641261995,1396.8007999937981,259.04409243639856
1789048218,200,,Aggregated,556.900000,0.000000,200,220,240,250,280,320,370,470,1000,1400,1400,15351,0,200,206.5531793498088,6.3782999641261995,1396.8007999937981,259.156797602762
